ordem,id,materia,titulo,artefato_ativo,status,proxima_acao
157,summary-biologia-bioenergetica-fermentacao-e-respiracao,Biologia,Bioenergética: Fermentação e Respiração,scene:respiracao-compartimentos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
158,bio-ecologia-biomagnificacao,Biologia,Biomagnificação,scene:biomagnificacao-trofica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
159,summary-biologia-biomas-brasileiros,Biologia,Biomas Brasileiros,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
160,summary-biologia-biotecnologia,Biologia,Biotecnologia,instrument:biotecnologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
161,bio-ecologia-ciclo-carbono,Biologia,Ciclos biogeoquímicos: ciclo do carbono,board:ciclo-carbono,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
162,summary-biologia-ciclos-de-vida,Biologia,Ciclos de Vida,scene:ciclos-meiose,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
163,summary-biologia-citoplasma-estrutura-e-componentes-i,Biologia,Citoplasma: Estrutura e Componentes I,instrument:citoplasma-i,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
164,summary-biologia-citoplasma-estrutura-e-componentes-ii,Biologia,Citoplasma: Estrutura e Componentes II,instrument:citoplasma-ii,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
165,summary-biologia-classificacao-biologica-nomenclatura-cientifica-e-nocoes-de-sistematica-filogenetica,Biologia,"Classificação Biológica, Nomenclatura Científica e Noções de Sistemática Filogenética",scene:escala-de-graus,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
166,summary-biologia-composicao-quimica-celular-carboidratos-e-lipidios,Biologia,Composição Química Celular: Carboidratos e Lipídios,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
167,summary-biologia-composicao-quimica-celular-compostos-inorganicos,Biologia,Composição Química Celular: Compostos Inorgânicos,instrument:compostos-inorganicos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
168,summary-biologia-composicao-quimica-celular-proteinas-e-sua-funcao-estrutural,Biologia,Composição Química Celular: Proteínas e sua Função Estrutural,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
169,summary-biologia-coordenacao-endocrina-i,Biologia,Coordenação Endócrina I,instrument:coordenacao-endocrina-i,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
170,summary-biologia-coordenacao-endocrina-ii,Biologia,Coordenação Endócrina II,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
171,summary-biologia-coordenacao-nervosa-ii,Biologia,Coordenação Nervosa II,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
172,summary-biologia-cordados-tetrapodes,Biologia,Cordados Tetrápodes,scene:escala-de-graus,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
173,summary-biologia-divisao-celular,Biologia,Divisão Celular,board:divisao-celular,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
174,summary-biologia-embriologia-animal,Biologia,Embriologia Animal,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
175,summary-biologia-equinodermos,Biologia,Equinodermos,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
176,summary-biologia-evolucao-biologica-construcao-historica,Biologia,Evolução Biológica: Construção Histórica,scene:contraste-de-posicoes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
177,summary-biologia-fisiologia-vegetal-hormonios-vegetais,Biologia,Fisiologia Vegetal: Hormônios Vegetais,instrument:hormonios-vegetais,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
178,summary-biologia-fisiologia-vegetal-transporte-no-floema,Biologia,Fisiologia Vegetal: Transporte no Floema,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
179,summary-biologia-fisiologia-da-coordenacao-nervosa-i,Biologia,Fisiologia da Coordenação Nervosa I,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
180,summary-biologia-fisiologia-da-digestao,Biologia,Fisiologia da Digestão,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
181,summary-biologia-fisiologia-da-excrecao,Biologia,Fisiologia da Excreção,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
182,summary-biologia-fisiologia-da-respiracao,Biologia,Fisiologia da Respiração,instrument:fisiologia-respiracao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
183,summary-biologia-fisiologia-da-sustentacao-e-da-locomocao,Biologia,Fisiologia da Sustentação e da Locomoção,instrument:sustentacao-locomocao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
184,summary-biologia-fungos,Biologia,Fungos,board:fungos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
185,summary-biologia-heranca-sexual,Biologia,Herança Sexual,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
186,summary-biologia-histologia-e-morfologia-vegetal,Biologia,Histologia e Morfologia Vegetal,instrument:histologia-vegetal,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
187,summary-biologia-introducao-aos-cordados-e-os-peixes,Biologia,Introdução aos Cordados e os Peixes,instrument:cordados-peixes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
188,bio-ecologia-introducao,Biologia,Introdução à Ecologia,experiment:ecology,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
189,summary-biologia-introducao-a-genetica,Biologia,Introdução à Genética,instrument:introducao-genetica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
190,summary-biologia-ligacao-genica,Biologia,Ligação Gênica,instrument:ligacao-genica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
191,summary-biologia-mecanismos-da-evolucao-biologica,Biologia,Mecanismos da Evolução Biológica,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
192,summary-biologia-membranas-celulares,Biologia,Membranas Celulares,board:membrana,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
193,summary-biologia-moluscos,Biologia,Moluscos,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
194,summary-biologia-morfofisiologia-vegetal-caules-e-folhas,Biologia,Morfofisiologia Vegetal: Caules e Folhas,instrument:caules-folhas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
195,summary-biologia-mutacoes-cromossomicas-e-gametogenese,Biologia,Mutações Cromossômicas e Gametogênese,instrument:mutacoes-cromossomicas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
196,summary-biologia-mutacoes-genicas,Biologia,Mutações Gênicas,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
197,summary-biologia-nucleo-celular,Biologia,Núcleo Celular,instrument:nucleo-celular,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
198,summary-biologia-origem-da-vida-e-as-primeiras-celulas,Biologia,Origem da Vida e as Primeiras Células,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
199,summary-biologia-plantas-terrestres-i-briofitas-e-pteridofitas,Biologia,Plantas Terrestres I: Briófitas e Pteridófitas,scene:escala-de-graus,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
200,summary-biologia-plantas-terrestres-ii-gimnospermas-e-angiospermas,Biologia,Plantas Terrestres II: Gimnospermas e Angiospermas,instrument:gimnospermas-angiospermas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
201,bio-ecologia-poluicao-ar,Biologia,Poluição do ar,instrument:poluicao-ar,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
202,summary-biologia-poriferos-e-cnidarios,Biologia,Poríferos e Cnidários,instrument:poriferos-cnidarios,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
203,summary-biologia-procariotos,Biologia,Procariotos,instrument:procariotos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
204,summary-biologia-proteinas-enzimas,Biologia,Proteínas: Enzimas,board:enzimas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
205,summary-biologia-protozoarios-e-protozooses,Biologia,Protozoários e Protozooses,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
206,summary-biologia-reproducao-humana-e-metodos-contraceptivos,Biologia,Reprodução Humana e Métodos Contraceptivos,instrument:reproducao-humana,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
207,summary-biologia-sangue-e-imunologia,Biologia,Sangue e Imunologia,board:abo,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
208,summary-biologia-segunda-lei-de-mendel,Biologia,Segunda Lei de Mendel,board:mendel,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
209,summary-biologia-segunda-lei-de-mendel-e-interacao-genica,Biologia,Segunda Lei de Mendel e Interação Gênica,board:mendel,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
210,summary-biologia-sistemas-sensoriais-visao-e-audicao,Biologia,Sistemas Sensoriais: Visão e Audição,instrument:sistemas-sensoriais,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
211,summary-biologia-traqueofitas-transpiracao-e-reposicao-rapida-de-agua,Biologia,Traqueófitas: Transpiração e Reposição Rápida de Água,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
212,summary-biologia-virus,Biologia,Vírus,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
213,summary-biologia-acidos-nucleicos,Biologia,Ácidos Nucleicos,instrument:acidos-nucleicos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
214,summary-matematica-a-geometria-metrica-plana,Matemática,A Geometria Métrica Plana,instrument:geometria-metrica-plana,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
215,summary-matematica-a-geometria-da-proporcionalidade,Matemática,A Geometria da Proporcionalidade,instrument:geometria-proporcionalidade,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
216,summary-matematica-a-geometria-dos-numeros-complexos,Matemática,A Geometria dos Números Complexos,instrument:complexos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
217,summary-matematica-a-relacao-fundamental-da-trigonometria,Matemática,A Relação Fundamental da Trigonometria,board:trigonometria,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
218,summary-matematica-a-trigonometria-dos-numeros-reais,Matemática,A Trigonometria dos Números Reais,board:trigonometria,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
219,summary-matematica-composicao-de-funcoes,Matemática,Composição de Funções,instrument:composicao-funcoes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
220,mat-probabilidade-contagem,Matemática,Contagem sistemática e probabilidade,board:contagem,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
221,summary-matematica-cubos-e-paralelepipedos,Matemática,Cubos e Paralelepípedos,instrument:cubos-paralelepipedos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
222,summary-matematica-desigualdades,Matemática,Desigualdades,instrument:desigualdades,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
223,summary-matematica-determinantes,Matemática,Determinantes,instrument:determinantes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
224,summary-matematica-discussao-de-sistemas-lineares,Matemática,Discussão de Sistemas Lineares,instrument:discussao-sistemas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
225,summary-matematica-distancia-entre-um-ponto-e-uma-reta,Matemática,Distância entre um Ponto e uma Reta,instrument:distancia-ponto-reta,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
226,summary-matematica-equacoes-polinomiais,Matemática,Equações Polinomiais,instrument:equacoes-polinomiais,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
227,summary-matematica-equacoes-do-2-grau,Matemática,Equações do 2º Grau,board:segundo-grau,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
228,summary-matematica-equacoes-e-funcoes-logaritmicas,Matemática,Equações e Funções Logarítmicas,instrument:funcoes-logaritmicas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
229,summary-matematica-estatistica-descritiva,Matemática,Estatística Descritiva,instrument:estatistica-descritiva,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
230,summary-matematica-estudo-analitico-da-reta,Matemática,Estudo Analítico da Reta,instrument:reta-analitica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
231,summary-matematica-estudo-do-sinal-de-funcoes,Matemática,Estudo do Sinal de Funções,instrument:estudo-do-sinal,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
232,summary-matematica-eventos-disjuntos-e-eventos-independentes,Matemática,Eventos Disjuntos e Eventos Independentes,instrument:eventos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
233,summary-matematica-funcao-constante-e-funcao-afim,Matemática,Função Constante e Função Afim,instrument:funcao-afim,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
234,summary-matematica-funcao-quadratica,Matemática,Função Quadrática,instrument:funcao-quadratica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
235,summary-matematica-funcoes-bijetoras,Matemática,Funções Bijetoras,instrument:funcoes-bijetoras,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
236,summary-matematica-funcoes-trigonometricas,Matemática,Funções Trigonométricas,instrument:funcoes-trigonometricas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
237,summary-matematica-identificacao-de-simetrias-i,Matemática,Identificação de Simetrias I,instrument:simetrias-i,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
238,summary-matematica-identificacao-de-simetrias-ii,Matemática,Identificação de Simetrias II,instrument:simetrias-ii,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
239,summary-matematica-igualdades,Matemática,Igualdades,instrument:igualdades,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
240,summary-matematica-introducao-ao-estudo-analitico-das-conicas,Matemática,Introdução ao Estudo Analítico das Cônicas,instrument:conicas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
241,summary-matematica-introducao-ao-modelo-exponencial,Matemática,Introdução ao Modelo Exponencial,board:exponencial,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
242,summary-matematica-introducao-aos-logaritmos,Matemática,Introdução aos Logaritmos,board:logaritmos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
243,summary-matematica-introducao-a-geometria-analitica,Matemática,Introdução à Geometria Analítica,instrument:geometria-analitica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
244,summary-matematica-introducao-a-geometria-plana,Matemática,Introdução à Geometria Plana,instrument:geometria-plana-fundamentos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
245,summary-matematica-introducao-a-teoria-dos-numeros-inteiros,Matemática,Introdução à Teoria dos Números Inteiros,instrument:numeros-inteiros,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
246,summary-matematica-introducao-as-funcoes,Matemática,Introdução às Funções,instrument:funcoes-introducao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
247,summary-matematica-introducao-as-sequencias,Matemática,Introdução às Sequências,board:progressoes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
248,summary-matematica-introducao-as-tecnicas-de-contagem,Matemática,Introdução às Técnicas de Contagem,board:contagem,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
249,summary-matematica-inversao-de-funcoes,Matemática,Inversão de Funções,instrument:inversao-funcoes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
250,summary-matematica-lugar-geometrico-e-equacao-da-circunferencia,Matemática,Lugar Geométrico e Equação da Circunferência,instrument:circunferencia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
251,summary-matematica-modelagem-algebrica-de-problemas-i,Matemática,Modelagem Algébrica de Problemas I,instrument:modelagem-algebrica-i,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
252,summary-matematica-modelagem-algebrica-de-problemas-ii,Matemática,Modelagem Algébrica de Problemas II,instrument:modelagem-algebrica-ii,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
253,summary-matematica-modelagem-exponencial-de-problemas,Matemática,Modelagem Exponencial de Problemas,instrument:modelagem-exponencial,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
254,summary-matematica-multiplicacao-de-matrizes,Matemática,Multiplicação de Matrizes,instrument:multiplicacao-matrizes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
255,summary-matematica-medias,Matemática,Médias,instrument:medias,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
256,summary-matematica-modulo-de-um-numero-real,Matemática,Módulo de um Número Real,instrument:modulo-real,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
257,summary-matematica-numeros-complexos,Matemática,Números Complexos,instrument:complexos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
258,summary-matematica-o-ponto-medio-e-o-baricentro-de-um-triangulo,Matemática,O Ponto Médio e o Baricentro de um Triângulo,instrument:ponto-medio,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
259,summary-matematica-o-problema-da-fila,Matemática,O Problema da Fila,instrument:problema-fila,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
260,summary-matematica-o-problema-do-grupo,Matemática,O Problema do Grupo,instrument:problema-grupo,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
261,summary-matematica-o-sistema-de-numeracao-decimal,Matemática,O Sistema de Numeração Decimal,instrument:sistema-decimal,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
262,summary-matematica-o-universo-tridimensional,Matemática,O Universo Tridimensional,instrument:universo-tridimensional,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
263,summary-matematica-operacoes-com-probabilidades,Matemática,Operações com Probabilidades,instrument:operacoes-probabilidades,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
264,summary-matematica-outras-razoes-trigonometricas,Matemática,Outras Razões Trigonométricas,instrument:outras-razoes-trig,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
265,summary-matematica-piramides,Matemática,Pirâmides,instrument:piramides,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
266,summary-matematica-polinomios,Matemática,Polinômios,instrument:polinomios,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
267,summary-matematica-porcentagem,Matemática,Porcentagem,instrument:porcentagem,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
268,summary-matematica-posicoes-relativas-entre-duas-retas,Matemática,Posições Relativas entre Duas Retas,instrument:duas-retas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
269,summary-matematica-posicoes-relativas-entre-uma-reta-e-uma-circunferencia,Matemática,Posições Relativas entre uma Reta e uma Circunferência,instrument:reta-e-circunferencia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
270,summary-matematica-potencias-e-radicais,Matemática,Potências e Radicais,experiment:powers,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
271,summary-matematica-prismas,Matemática,Prismas,instrument:prismas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
272,summary-matematica-progressao-aritmetica,Matemática,Progressão Aritmética,instrument:progressao-aritmetica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
273,summary-matematica-progressao-geometrica,Matemática,Progressão Geométrica,instrument:progressao-geometrica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
274,summary-matematica-razao-e-proporcao,Matemática,Razão e Proporção,instrument:razao-proporcao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
275,summary-matematica-razoes-entre-volumes-de-solidos,Matemática,Razões entre Volumes de Sólidos,instrument:razoes-entre-volumes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
276,summary-matematica-razoes-entre-areas-de-figuras-planas,Matemática,Razões entre Áreas de Figuras Planas,instrument:razoes-areas-planas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
277,summary-matematica-relacoes-trigonometricas-em-poligonos,Matemática,Relações Trigonométricas em Polígonos,instrument:trig-poligonos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
278,summary-matematica-representacao-geometrica-de-inequacoes,Matemática,Representação Geométrica de Inequações,instrument:representacao-geometrica-inequacoes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
279,summary-matematica-semelhanca-de-triangulos,Matemática,Semelhança de Triângulos,instrument:semelhanca-triangulos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
280,summary-matematica-sequencias,Matemática,Sequências,board:progressoes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
281,summary-matematica-simetrias-e-congruencias,Matemática,Simetrias e Congruências,instrument:simetrias-congruencias,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
282,summary-matematica-sistemas-de-equacoes,Matemática,Sistemas de Equações,instrument:sistemas-equacoes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
283,summary-matematica-solidos-de-revolucao,Matemática,Sólidos de Revolução,instrument:solidos-de-revolucao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
284,summary-matematica-tabelas-e-matrizes,Matemática,Tabelas e Matrizes,instrument:tabelas-matrizes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
285,summary-matematica-transformacoes-trigonometricas,Matemática,Transformações Trigonométricas,instrument:transformacoes-trigonometricas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
286,summary-matematica-transformacoes-em-graficos-de-funcoes,Matemática,Transformações em Gráficos de Funções,instrument:transformacoes-graficos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
287,summary-matematica-trigonometria-no-triangulo-retangulo,Matemática,Trigonometria no Triângulo Retângulo,board:trigonometria,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
288,summary-matematica-triangulo-retangulo,Matemática,Triângulo Retângulo,instrument:triangulo-retangulo-metrico,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
289,summary-matematica-tecnicas-algebricas,Matemática,Técnicas Algébricas,instrument:tecnicas-algebricas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
290,summary-matematica-tecnicas-de-contagem,Matemática,Técnicas de Contagem,board:contagem,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
291,summary-matematica-area-do-circulo-e-de-suas-partes,Matemática,Área do Círculo e de suas Partes,instrument:area-circulo-partes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
292,summary-matematica-areas-de-figuras-planas,Matemática,Áreas de Figuras Planas,instrument:areas-figuras-planas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
293,summary-matematica-areas-de-poligonos,Matemática,Áreas de Polígonos,instrument:areas-poligonos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
294,summary-matematica-angulos-e-circunferencias,Matemática,Ângulos e Circunferências,instrument:angulos-circunferencia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
295,summary-matematica-angulos-em-poligonos,Matemática,Ângulos em Polígonos,instrument:angulos-poligono,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
296,summary-matematica-angulos-em-triangulos,Matemática,Ângulos em Triângulos,instrument:angulos-triangulo,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
297,summary-geografia-as-redes-de-transportes,Geografia,As Redes de Transportes,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
298,summary-geografia-biogeografia-mundial,Geografia,Biogeografia Mundial,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
299,summary-geografia-biogeografia-do-brasil-i,Geografia,Biogeografia do Brasil I,instrument:biogeografia-brasil-i,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
300,summary-geografia-biogeografia-do-brasil-ii,Geografia,Biogeografia do Brasil II,instrument:biogeografia-brasil-ii,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
301,summary-geografia-blocos-economicos,Geografia,Blocos Econômicos,scene:escala-de-graus,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
302,summary-geografia-cartografia-digital,Geografia,Cartografia Digital,instrument:digital-map,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
303,summary-geografia-clima-mundial,Geografia,Clima Mundial,scene:criterios-conjuntivos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
304,summary-geografia-climatologia-do-brasil,Geografia,Climatologia do Brasil,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
305,summary-geografia-conflitos-no-mundo-arabe,Geografia,Conflitos no Mundo Árabe,instrument:conflitos-mundo-arabe,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
306,summary-geografia-coordenadas-geograficas,Geografia,Coordenadas Geográficas,experiment:coordinates,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
307,summary-geografia-desafios-ambientais-do-seculo-xxi,Geografia,Desafios Ambientais do Século XXI,instrument:commons,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
308,summary-geografia-desigualdades-globais,Geografia,Desigualdades Globais,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
309,summary-geografia-dinamica-demografica,Geografia,Dinâmica Demográfica,scene:escala-de-graus,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
310,summary-geografia-do-mundo-bipolar-ao-multipolar,Geografia,Do Mundo Bipolar ao Multipolar,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
311,summary-geografia-dominios-morfoclimaticos,Geografia,Domínios Morfoclimáticos,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
312,summary-geografia-energia-eletrica-no-mundo,Geografia,Energia Elétrica no Mundo,instrument:energia-eletrica-mundo,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
313,summary-geografia-gedeconomia-mundial,Geografia,Gedeconomia Mundial,instrument:geoeconomics,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
314,summary-geografia-geografia-das-redes-mundiais,Geografia,Geografia das Redes Mundiais,instrument:redes-mundiais,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
315,summary-geografia-geografia-das-religioes,Geografia,Geografia das Religiões,instrument:geografia-religioes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
316,summary-geografia-geografia-do-oriente-medio,Geografia,Geografia do Oriente Médio,instrument:geografia-oriente-medio,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
317,summary-geografia-geografia-do-turismo,Geografia,Geografia do Turismo,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
318,summary-geografia-geologia-e-geomorfologia,Geografia,Geologia e Geomorfologia,scene:tipologia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
